Index,Population,Group,Descriptor_1,Descriptor_2,Table
1,735000,0,NoMeal,FALSE,Characteristics_cluster_1
2,95000,1,NoMeal,FALSE,Characteristics_cluster_1
3,72000,2,NoMeal,FALSE,Characteristics_cluster_1
4,S,0,NoMeal,TRUE,Characteristics_cluster_1
5,S,3,NoMeal,TRUE,Characteristics_cluster_1
6,130000,4,NoMeal,FALSE,Characteristics_cluster_1
7,7000,1,NoMeal,,Characteristics_cluster_1
8,57000,3,NoMeal,FALSE,Characteristics_cluster_1
9,35000,0,NoMeal,,Characteristics_cluster_1
10,8000,2,NoMeal,TRUE,Characteristics_cluster_1
11,4000,4,NoMeal,,Characteristics_cluster_1
12,S,4,NoMeal,TRUE,Characteristics_cluster_1
13,S,3,NoMeal,,Characteristics_cluster_1
14,S,1,NoMeal,TRUE,Characteristics_cluster_1
15,735000,0,NoShoes,FALSE,Characteristics_cluster_1
16,92000,1,NoShoes,FALSE,Characteristics_cluster_1
17,62000,2,NoShoes,FALSE,Characteristics_cluster_1
18,56000,3,NoShoes,FALSE,Characteristics_cluster_1
19,19000,2,NoShoes,TRUE,Characteristics_cluster_1
20,129000,4,NoShoes,FALSE,Characteristics_cluster_1
21,7000,1,NoShoes,,Characteristics_cluster_1
22,5000,3,NoShoes,TRUE,Characteristics_cluster_1
23,35000,0,NoShoes,,Characteristics_cluster_1
24,S,0,NoShoes,TRUE,Characteristics_cluster_1
25,4000,4,NoShoes,,Characteristics_cluster_1
26,S,4,NoShoes,TRUE,Characteristics_cluster_1
27,S,3,NoShoes,,Characteristics_cluster_1
28,4000,1,NoShoes,TRUE,Characteristics_cluster_1
29,735000,0,NoSuitableClothes,FALSE,Characteristics_cluster_1
30,92000,1,NoSuitableClothes,FALSE,Characteristics_cluster_1
31,54000,2,NoSuitableClothes,FALSE,Characteristics_cluster_1
32,8000,3,NoSuitableClothes,TRUE,Characteristics_cluster_1
33,128000,4,NoSuitableClothes,FALSE,Characteristics_cluster_1
34,7000,1,NoSuitableClothes,,Characteristics_cluster_1
35,53000,3,NoSuitableClothes,FALSE,Characteristics_cluster_1
36,35000,0,NoSuitableClothes,,Characteristics_cluster_1
37,26000,2,NoSuitableClothes,TRUE,Characteristics_cluster_1
38,S,0,NoSuitableClothes,TRUE,Characteristics_cluster_1
39,4000,4,NoSuitableClothes,,Characteristics_cluster_1
40,4000,1,NoSuitableClothes,TRUE,Characteristics_cluster_1
41,4000,4,NoSuitableClothes,TRUE,Characteristics_cluster_1
42,S,3,NoSuitableClothes,,Characteristics_cluster_1
43,681000,0,NoInsurance,FALSE,Characteristics_cluster_1
44,30000,1,NoInsurance,TRUE,Characteristics_cluster_1
45,61000,2,NoInsurance,TRUE,Characteristics_cluster_1
46,56000,0,NoInsurance,TRUE,Characteristics_cluster_1
47,24000,3,NoInsurance,TRUE,Characteristics_cluster_1
48,67000,1,NoInsurance,FALSE,Characteristics_cluster_1
49,92000,4,NoInsurance,FALSE,Characteristics_cluster_1
50,39000,4,NoInsurance,TRUE,Characteristics_cluster_1
51,7000,1,NoInsurance,,Characteristics_cluster_1
52,36000,3,NoInsurance,FALSE,Characteristics_cluster_1
53,35000,0,NoInsurance,,Characteristics_cluster_1
54,20000,2,NoInsurance,FALSE,Characteristics_cluster_1
55,4000,4,NoInsurance,,Characteristics_cluster_1
56,S,3,NoInsurance,,Characteristics_cluster_1
57,725000,0,NoGifts,FALSE,Characteristics_cluster_1
58,91000,1,NoGifts,FALSE,Characteristics_cluster_1
59,53000,2,NoGifts,FALSE,Characteristics_cluster_1
60,27000,2,NoGifts,TRUE,Characteristics_cluster_1
61,10000,3,NoGifts,TRUE,Characteristics_cluster_1
62,126000,4,NoGifts,FALSE,Characteristics_cluster_1
63,7000,1,NoGifts,,Characteristics_cluster_1
64,6000,1,NoGifts,TRUE,Characteristics_cluster_1
65,50000,3,NoGifts,FALSE,Characteristics_cluster_1
66,35000,0,NoGifts,,Characteristics_cluster_1
67,12000,0,NoGifts,TRUE,Characteristics_cluster_1
68,5000,4,NoGifts,TRUE,Characteristics_cluster_1
69,4000,4,NoGifts,,Characteristics_cluster_1
70,S,3,NoGifts,,Characteristics_cluster_1
71,735000,0,NoMeal,FALSE,Characteristics_cluster_2
72,47000,1,NoMeal,FALSE,Characteristics_cluster_2
73,46000,2,NoMeal,FALSE,Characteristics_cluster_2
74,28000,3,NoMeal,FALSE,Characteristics_cluster_2
75,S,0,NoMeal,TRUE,Characteristics_cluster_2
76,S,1,NoMeal,TRUE,Characteristics_cluster_2
77,120000,4,NoMeal,FALSE,Characteristics_cluster_2
78,50000,5,NoMeal,FALSE,Characteristics_cluster_2
79,64000,6,NoMeal,FALSE,Characteristics_cluster_2
80,S,2,NoMeal,,Characteristics_cluster_2
81,S,5,NoMeal,TRUE,Characteristics_cluster_2
82,35000,0,NoMeal,,Characteristics_cluster_2
83,5000,3,NoMeal,TRUE,Characteristics_cluster_2
84,8000,6,NoMeal,,Characteristics_cluster_2
85,S,6,NoMeal,TRUE,Characteristics_cluster_2
86,S,4,NoMeal,TRUE,Characteristics_cluster_2
87,S,1,NoMeal,,Characteristics_cluster_2
88,S,2,NoMeal,TRUE,Characteristics_cluster_2
89,735000,0,NoShoes,FALSE,Characteristics_cluster_2
90,45000,1,NoShoes,FALSE,Characteristics_cluster_2
91,45000,2,NoShoes,FALSE,Characteristics_cluster_2
92,22000,3,NoShoes,FALSE,Characteristics_cluster_2
93,120000,4,NoShoes,FALSE,Characteristics_cluster_2
94,10000,5,NoShoes,TRUE,Characteristics_cluster_2
95,43000,5,NoShoes,FALSE,Characteristics_cluster_2
96,63000,6,NoShoes,FALSE,Characteristics_cluster_2
97,S,2,NoShoes,,Characteristics_cluster_2
98,35000,0,NoShoes,,Characteristics_cluster_2
99,S,0,NoShoes,TRUE,Characteristics_cluster_2
100,S,1,NoShoes,TRUE,Characteristics_cluster_2
101,11000,3,NoShoes,TRUE,Characteristics_cluster_2
102,8000,6,NoShoes,,Characteristics_cluster_2
103,S,4,NoShoes,TRUE,Characteristics_cluster_2
104,S,1,NoShoes,,Characteristics_cluster_2
105,S,2,NoShoes,TRUE,Characteristics_cluster_2
106,4000,6,NoShoes,TRUE,Characteristics_cluster_2
107,735000,0,NoSuitableClothes,FALSE,Characteristics_cluster_2
108,42000,1,NoSuitableClothes,FALSE,Characteristics_cluster_2
109,44000,2,NoSuitableClothes,FALSE,Characteristics_cluster_2
110,18000,3,NoSuitableClothes,FALSE,Characteristics_cluster_2
111,7000,1,NoSuitableClothes,TRUE,Characteristics_cluster_2
112,118000,4,NoSuitableClothes,FALSE,Characteristics_cluster_2
113,44000,5,NoSuitableClothes,FALSE,Characteristics_cluster_2
114,61000,6,NoSuitableClothes,FALSE,Characteristics_cluster_2
115,S,2,NoSuitableClothes,,Characteristics_cluster_2
116,35000,0,NoSuitableClothes,,Characteristics_cluster_2
117,15000,3,NoSuitableClothes,TRUE,Characteristics_cluster_2
118,S,0,NoSuitableClothes,TRUE,Characteristics_cluster_2
119,10000,5,NoSuitableClothes,TRUE,Characteristics_cluster_2
120,6000,6,NoSuitableClothes,TRUE,Characteristics_cluster_2
121,8000,6,NoSuitableClothes,,Characteristics_cluster_2
122,S,2,NoSuitableClothes,TRUE,Characteristics_cluster_2
123,S,4,NoSuitableClothes,TRUE,Characteristics_cluster_2
124,S,1,NoSuitableClothes,,Characteristics_cluster_2
125,681000,0,NoInsurance,FALSE,Characteristics_cluster_2
126,31000,1,NoInsurance,TRUE,Characteristics_cluster_2
127,17000,2,NoInsurance,TRUE,Characteristics_cluster_2
128,26000,3,NoInsurance,TRUE,Characteristics_cluster_2
129,56000,0,NoInsurance,TRUE,Characteristics_cluster_2
130,103000,4,NoInsurance,FALSE,Characteristics_cluster_2
131,32000,5,NoInsurance,TRUE,Characteristics_cluster_2
132,30000,6,NoInsurance,TRUE,Characteristics_cluster_2
133,S,2,NoInsurance,,Characteristics_cluster_2
134,35000,0,NoInsurance,,Characteristics_cluster_2
135,18000,1,NoInsurance,FALSE,Characteristics_cluster_2
136,17000,4,NoInsurance,TRUE,Characteristics_cluster_2
137,21000,5,NoInsurance,FALSE,Characteristics_cluster_2
138,37000,6,NoInsurance,FALSE,Characteristics_cluster_2
139,29000,2,NoInsurance,FALSE,Characteristics_cluster_2
140,8000,6,NoInsurance,,Characteristics_cluster_2
141,7000,3,NoInsurance,FALSE,Characteristics_cluster_2
142,S,1,NoInsurance,,Characteristics_cluster_2
143,725000,0,NoGifts,FALSE,Characteristics_cluster_2
144,42000,1,NoGifts,FALSE,Characteristics_cluster_2
145,44000,2,NoGifts,FALSE,Characteristics_cluster_2
146,20000,3,NoGifts,FALSE,Characteristics_cluster_2
147,6000,1,NoGifts,TRUE,Characteristics_cluster_2
148,118000,4,NoGifts,FALSE,Characteristics_cluster_2
149,16000,5,NoGifts,TRUE,Characteristics_cluster_2
150,37000,5,NoGifts,FALSE,Characteristics_cluster_2
151,59000,6,NoGifts,FALSE,Characteristics_cluster_2
152,S,2,NoGifts,,Characteristics_cluster_2
153,S,4,NoGifts,TRUE,Characteristics_cluster_2
154,35000,0,NoGifts,,Characteristics_cluster_2
155,13000,3,NoGifts,TRUE,Characteristics_cluster_2
156,8000,6,NoGifts,TRUE,Characteristics_cluster_2
157,12000,0,NoGifts,TRUE,Characteristics_cluster_2
158,S,2,NoGifts,TRUE,Characteristics_cluster_2
159,8000,6,NoGifts,,Characteristics_cluster_2
160,S,1,NoGifts,,Characteristics_cluster_2
161,735000,0,NoMeal,FALSE,Characteristics_cluster_3
162,47000,1,NoMeal,FALSE,Characteristics_cluster_3
163,43000,2,NoMeal,FALSE,Characteristics_cluster_3
164,28000,3,NoMeal,FALSE,Characteristics_cluster_3
165,S,0,NoMeal,TRUE,Characteristics_cluster_3
166,S,1,NoMeal,TRUE,Characteristics_cluster_3
167,53000,4,NoMeal,FALSE,Characteristics_cluster_3
168,40000,5,NoMeal,FALSE,Characteristics_cluster_3
169,75000,6,NoMeal,FALSE,Characteristics_cluster_3
170,69000,7,NoMeal,FALSE,Characteristics_cluster_3
171,S,2,NoMeal,,Characteristics_cluster_3
172,4000,5,NoMeal,TRUE,Characteristics_cluster_3
173,35000,0,NoMeal,,Characteristics_cluster_3
174,5000,3,NoMeal,TRUE,Characteristics_cluster_3
175,8000,7,NoMeal,,Characteristics_cluster_3
176,S,7,NoMeal,TRUE,Characteristics_cluster_3
177,S,6,NoMeal,TRUE,Characteristics_cluster_3
178,S,1,NoMeal,,Characteristics_cluster_3
179,S,4,NoMeal,TRUE,Characteristics_cluster_3
180,S,2,NoMeal,TRUE,Characteristics_cluster_3
181,735000,0,NoShoes,FALSE,Characteristics_cluster_3
182,46000,1,NoShoes,FALSE,Characteristics_cluster_3
183,41000,2,NoShoes,FALSE,Characteristics_cluster_3
184,22000,3,NoShoes,FALSE,Characteristics_cluster_3
185,53000,4,NoShoes,FALSE,Characteristics_cluster_3
186,8000,5,NoShoes,TRUE,Characteristics_cluster_3
187,35000,5,NoShoes,FALSE,Characteristics_cluster_3
188,75000,6,NoShoes,FALSE,Characteristics_cluster_3
189,67000,7,NoShoes,FALSE,Characteristics_cluster_3
190,S,2,NoShoes,,Characteristics_cluster_3
191,35000,0,NoShoes,,Characteristics_cluster_3
192,S,0,NoShoes,TRUE,Characteristics_cluster_3
193,S,1,NoShoes,TRUE,Characteristics_cluster_3
194,11000,3,NoShoes,TRUE,Characteristics_cluster_3
195,8000,7,NoShoes,,Characteristics_cluster_3
196,S,6,NoShoes,TRUE,Characteristics_cluster_3
197,5000,7,NoShoes,TRUE,Characteristics_cluster_3
198,S,1,NoShoes,,Characteristics_cluster_3
199,S,2,NoShoes,TRUE,Characteristics_cluster_3
200,735000,0,NoSuitableClothes,FALSE,Characteristics_cluster_3
201,42000,1,NoSuitableClothes,FALSE,Characteristics_cluster_3
202,41000,2,NoSuitableClothes,FALSE,Characteristics_cluster_3
203,18000,3,NoSuitableClothes,FALSE,Characteristics_cluster_3
204,7000,1,NoSuitableClothes,TRUE,Characteristics_cluster_3
205,52000,4,NoSuitableClothes,FALSE,Characteristics_cluster_3
206,34000,5,NoSuitableClothes,FALSE,Characteristics_cluster_3
207,74000,6,NoSuitableClothes,FALSE,Characteristics_cluster_3
208,65000,7,NoSuitableClothes,FALSE,Characteristics_cluster_3
209,S,2,NoSuitableClothes,,Characteristics_cluster_3
210,35000,0,NoSuitableClothes,,Characteristics_cluster_3
211,15000,3,NoSuitableClothes,TRUE,Characteristics_cluster_3
212,S,0,NoSuitableClothes,TRUE,Characteristics_cluster_3
213,9000,5,NoSuitableClothes,TRUE,Characteristics_cluster_3
214,6000,7,NoSuitableClothes,TRUE,Characteristics_cluster_3
215,8000,7,NoSuitableClothes,,Characteristics_cluster_3
216,S,2,NoSuitableClothes,TRUE,Characteristics_cluster_3
217,S,6,NoSuitableClothes,TRUE,Characteristics_cluster_3
218,S,1,NoSuitableClothes,,Characteristics_cluster_3
219,S,4,NoSuitableClothes,TRUE,Characteristics_cluster_3
220,681000,0,NoInsurance,FALSE,Characteristics_cluster_3
221,31000,1,NoInsurance,TRUE,Characteristics_cluster_3
222,18000,2,NoInsurance,TRUE,Characteristics_cluster_3
223,26000,3,NoInsurance,TRUE,Characteristics_cluster_3
224,56000,0,NoInsurance,TRUE,Characteristics_cluster_3
225,46000,4,NoInsurance,FALSE,Characteristics_cluster_3
226,29000,5,NoInsurance,TRUE,Characteristics_cluster_3
227,64000,6,NoInsurance,FALSE,Characteristics_cluster_3
228,30000,7,NoInsurance,TRUE,Characteristics_cluster_3
229,S,2,NoInsurance,,Characteristics_cluster_3
230,35000,0,NoInsurance,,Characteristics_cluster_3
231,18000,1,NoInsurance,FALSE,Characteristics_cluster_3
232,12000,6,NoInsurance,TRUE,Characteristics_cluster_3
233,41000,7,NoInsurance,FALSE,Characteristics_cluster_3
234,14000,5,NoInsurance,FALSE,Characteristics_cluster_3
235,8000,4,NoInsurance,TRUE,Characteristics_cluster_3
236,26000,2,NoInsurance,FALSE,Characteristics_cluster_3
237,8000,7,NoInsurance,,Characteristics_cluster_3
238,7000,3,NoInsurance,FALSE,Characteristics_cluster_3
239,S,1,NoInsurance,,Characteristics_cluster_3
240,725000,0,NoGifts,FALSE,Characteristics_cluster_3
241,43000,1,NoGifts,FALSE,Characteristics_cluster_3
242,41000,2,NoGifts,FALSE,Characteristics_cluster_3
243,20000,3,NoGifts,FALSE,Characteristics_cluster_3
244,6000,1,NoGifts,TRUE,Characteristics_cluster_3
245,53000,4,NoGifts,FALSE,Characteristics_cluster_3
246,16000,5,NoGifts,TRUE,Characteristics_cluster_3
247,27000,5,NoGifts,FALSE,Characteristics_cluster_3
248,74000,6,NoGifts,FALSE,Characteristics_cluster_3
249,64000,7,NoGifts,FALSE,Characteristics_cluster_3
250,S,2,NoGifts,,Characteristics_cluster_3
251,S,4,NoGifts,TRUE,Characteristics_cluster_3
252,35000,0,NoGifts,,Characteristics_cluster_3
253,13000,3,NoGifts,TRUE,Characteristics_cluster_3
254,7000,7,NoGifts,TRUE,Characteristics_cluster_3
255,12000,0,NoGifts,TRUE,Characteristics_cluster_3
256,S,6,NoGifts,TRUE,Characteristics_cluster_3
257,S,2,NoGifts,TRUE,Characteristics_cluster_3
258,8000,7,NoGifts,,Characteristics_cluster_3
259,S,1,NoGifts,,Characteristics_cluster_3
260,735000,0,NoMeal,FALSE,Characteristics_cluster_4
261,74000,1,NoMeal,FALSE,Characteristics_cluster_4
262,38000,2,NoMeal,FALSE,Characteristics_cluster_4
263,S,0,NoMeal,TRUE,Characteristics_cluster_4
264,117000,3,NoMeal,FALSE,Characteristics_cluster_4
265,S,1,NoMeal,TRUE,Characteristics_cluster_4
266,67000,4,NoMeal,FALSE,Characteristics_cluster_4
267,24000,5,NoMeal,FALSE,Characteristics_cluster_4
268,S,1,NoMeal,,Characteristics_cluster_4
269,35000,6,NoMeal,FALSE,Characteristics_cluster_4
270,S,3,NoMeal,TRUE,Characteristics_cluster_4
271,35000,0,NoMeal,,Characteristics_cluster_4
272,5000,2,NoMeal,TRUE,Characteristics_cluster_4
273,S,5,NoMeal,TRUE,Characteristics_cluster_4
274,S,4,NoMeal,,Characteristics_cluster_4
275,S,6,NoMeal,,Characteristics_cluster_4
276,S,4,NoMeal,TRUE,Characteristics_cluster_4
277,S,2,NoMeal,,Characteristics_cluster_4
278,S,3,NoMeal,,Characteristics_cluster_4
279,S,5,NoMeal,,Characteristics_cluster_4
280,S,6,NoMeal,TRUE,Characteristics_cluster_4
281,735000,0,NoShoes,FALSE,Characteristics_cluster_4
282,69000,1,NoShoes,FALSE,Characteristics_cluster_4
283,35000,2,NoShoes,FALSE,Characteristics_cluster_4
284,113000,3,NoShoes,FALSE,Characteristics_cluster_4
285,66000,4,NoShoes,FALSE,Characteristics_cluster_4
286,7000,3,NoShoes,TRUE,Characteristics_cluster_4
287,22000,5,NoShoes,FALSE,Characteristics_cluster_4
288,S,1,NoShoes,,Characteristics_cluster_4
289,34000,6,NoShoes,FALSE,Characteristics_cluster_4
290,35000,0,NoShoes,,Characteristics_cluster_4
291,S,0,NoShoes,TRUE,Characteristics_cluster_4
292,8000,1,NoShoes,TRUE,Characteristics_cluster_4
293,8000,2,NoShoes,TRUE,Characteristics_cluster_4
294,S,4,NoShoes,,Characteristics_cluster_4
295,S,6,NoShoes,,Characteristics_cluster_4
296,S,4,NoShoes,TRUE,Characteristics_cluster_4
297,4000,5,NoShoes,TRUE,Characteristics_cluster_4
298,S,2,NoShoes,,Characteristics_cluster_4
299,S,3,NoShoes,,Characteristics_cluster_4
300,S,5,NoShoes,,Characteristics_cluster_4
301,S,6,NoShoes,TRUE,Characteristics_cluster_4
302,735000,0,NoSuitableClothes,FALSE,Characteristics_cluster_4
303,64000,1,NoSuitableClothes,FALSE,Characteristics_cluster_4
304,33000,2,NoSuitableClothes,FALSE,Characteristics_cluster_4
305,111000,3,NoSuitableClothes,FALSE,Characteristics_cluster_4
306,13000,1,NoSuitableClothes,TRUE,Characteristics_cluster_4
307,65000,4,NoSuitableClothes,FALSE,Characteristics_cluster_4
308,22000,5,NoSuitableClothes,FALSE,Characteristics_cluster_4
309,S,1,NoSuitableClothes,,Characteristics_cluster_4
310,33000,6,NoSuitableClothes,FALSE,Characteristics_cluster_4
311,35000,0,NoSuitableClothes,,Characteristics_cluster_4
312,S,0,NoSuitableClothes,TRUE,Characteristics_cluster_4
313,S,6,NoSuitableClothes,TRUE,Characteristics_cluster_4
314,10000,2,NoSuitableClothes,TRUE,Characteristics_cluster_4
315,9000,3,NoSuitableClothes,TRUE,Characteristics_cluster_4
316,4000,5,NoSuitableClothes,TRUE,Characteristics_cluster_4
317,S,4,NoSuitableClothes,,Characteristics_cluster_4
318,S,6,NoSuitableClothes,,Characteristics_cluster_4
319,S,4,NoSuitableClothes,TRUE,Characteristics_cluster_4
320,S,2,NoSuitableClothes,,Characteristics_cluster_4
321,S,3,NoSuitableClothes,,Characteristics_cluster_4
322,S,5,NoSuitableClothes,,Characteristics_cluster_4
323,681000,0,NoInsurance,FALSE,Characteristics_cluster_4
324,43000,1,NoInsurance,TRUE,Characteristics_cluster_4
325,28000,2,NoInsurance,TRUE,Characteristics_cluster_4
326,56000,0,NoInsurance,TRUE,Characteristics_cluster_4
327,55000,3,NoInsurance,TRUE,Characteristics_cluster_4
328,61000,4,NoInsurance,FALSE,Characteristics_cluster_4
329,18000,5,NoInsurance,TRUE,Characteristics_cluster_4
330,65000,3,NoInsurance,FALSE,Characteristics_cluster_4
331,S,1,NoInsurance,,Characteristics_cluster_4
332,34000,1,NoInsurance,FALSE,Characteristics_cluster_4
333,32000,6,NoInsurance,FALSE,Characteristics_cluster_4
334,35000,0,NoInsurance,,Characteristics_cluster_4
335,15000,2,NoInsurance,FALSE,Characteristics_cluster_4
336,6000,4,NoInsurance,TRUE,Characteristics_cluster_4
337,8000,5,NoInsurance,FALSE,Characteristics_cluster_4
338,S,6,NoInsurance,TRUE,Characteristics_cluster_4
339,S,4,NoInsurance,,Characteristics_cluster_4
340,S,6,NoInsurance,,Characteristics_cluster_4
341,S,2,NoInsurance,,Characteristics_cluster_4
342,S,3,NoInsurance,,Characteristics_cluster_4
343,S,5,NoInsurance,,Characteristics_cluster_4
344,725000,0,NoGifts,FALSE,Characteristics_cluster_4
345,64000,1,NoGifts,FALSE,Characteristics_cluster_4
346,34000,2,NoGifts,FALSE,Characteristics_cluster_4
347,10000,3,NoGifts,TRUE,Characteristics_cluster_4
348,13000,1,NoGifts,TRUE,Characteristics_cluster_4
349,63000,4,NoGifts,FALSE,Characteristics_cluster_4
350,21000,5,NoGifts,FALSE,Characteristics_cluster_4
351,110000,3,NoGifts,FALSE,Characteristics_cluster_4
352,S,1,NoGifts,,Characteristics_cluster_4
353,4000,4,NoGifts,TRUE,Characteristics_cluster_4
354,30000,6,NoGifts,FALSE,Characteristics_cluster_4
355,35000,0,NoGifts,,Characteristics_cluster_4
356,9000,2,NoGifts,TRUE,Characteristics_cluster_4
357,12000,0,NoGifts,TRUE,Characteristics_cluster_4
358,5000,5,NoGifts,TRUE,Characteristics_cluster_4
359,5000,6,NoGifts,TRUE,Characteristics_cluster_4
360,S,4,NoGifts,,Characteristics_cluster_4
361,S,6,NoGifts,,Characteristics_cluster_4
362,S,2,NoGifts,,Characteristics_cluster_4
363,S,3,NoGifts,,Characteristics_cluster_4
364,S,5,NoGifts,,Characteristics_cluster_4
1,772000,0,All,All,Characteristics_cluster_1
2,103000,1,All,All,Characteristics_cluster_1
3,80000,2,All,All,Characteristics_cluster_1
4,61000,3,All,All,Characteristics_cluster_1
5,136000,4,All,All,Characteristics_cluster_1
1515,772000,0,All,All,Characteristics_cluster_2
1516,50000,1,All,All,Characteristics_cluster_2
1517,49000,2,All,All,Characteristics_cluster_2
1518,33000,3,All,All,Characteristics_cluster_2
1519,120000,4,All,All,Characteristics_cluster_2
1520,53000,5,All,All,Characteristics_cluster_2
1521,75000,6,All,All,Characteristics_cluster_2
3616,772000,0,All,All,Characteristics_cluster_3
3617,50000,1,All,All,Characteristics_cluster_3
3618,46000,2,All,All,Characteristics_cluster_3
3619,33000,3,All,All,Characteristics_cluster_3
3620,53000,4,All,All,Characteristics_cluster_3
3621,43000,5,All,All,Characteristics_cluster_3
3622,75000,6,All,All,Characteristics_cluster_3
3623,80000,7,All,All,Characteristics_cluster_3
5968,772000,0,All,All,Characteristics_cluster_4
5969,79000,1,All,All,Characteristics_cluster_4
5970,44000,2,All,All,Characteristics_cluster_4
5971,122000,3,All,All,Characteristics_cluster_4
5972,71000,4,All,All,Characteristics_cluster_4
5973,27000,5,All,All,Characteristics_cluster_4
5974,37000,6,All,All,Characteristics_cluster_4
